Education Sex Married Experience Union Wage Region Ethnicity
10 1 0 44 1 6.1 N W
12 1 1 27 0 4.17 N W
12 1 1 16 0 4.8 N W
12 0 1 3 0 5.75 N W
12 0 1 8 0 4.75 N W
17 0 1 7 1 9.37 N W
12 1 0 8 0 5.25 N W
9 1 1 42 0 4.95 N W
16 1 1 11 0 19.38 N W
12 0 1 23 0 19.98 N W
12 0 0 4 0 4 N W
12 1 0 0 0 5 N W
14 0 1 25 0 10.58 N W
12 0 0 22 1 10 N B
14 1 0 15 0 7.38 N H
15 0 0 10 0 12.5 N W
16 1 0 20 0 4 N W
12 1 1 24 0 15.03 N W
12 0 1 12 0 16 S W
12 1 0 12 0 3.56 S H
12 0 0 16 0 4.5 S H
12 1 0 4 0 4.55 S H
12 1 1 43 0 3.6 S H
12 1 1 14 0 8 S W
12 1 0 10 0 4.75 S W
12 0 1 2 0 6.73 S W
12 0 1 28 0 11.11 S W
7 1 1 15 0 6 S W
12 0 1 20 0 10 S W
12 1 1 30 0 11.25 S H
12 1 1 9 0 3.95 S W
16 0 1 13 0 17.5 S B
13 1 0 1 0 3.55 S W
16 0 0 8 0 6 S W
14 0 1 15 0 22 S W
12 1 0 6 0 6.25 S W
7 0 1 14 0 4.5 S H
13 1 0 28 0 10.32 S W
14 0 1 10 0 12.2 S W
17 0 0 14 0 18.16 S W
16 0 1 10 0 15 S W
13 1 1 10 0 8.75 S W
14 0 1 44 0 19.98 S W
16 1 0 10 1 6.67 N W
14 0 1 22 1 9.63 N W
11 0 1 18 1 5.5 N W
12 1 0 9 0 8 N W
18 1 1 19 0 20 N W
17 1 1 14 0 9.5 N W
16 1 0 6 1 11.79 N W
16 1 0 17 0 13.89 N W
11 1 1 24 0 5.5 N W
11 1 0 12 0 7 N W
12 1 1 38 0 9.65 N W
15 1 0 33 0 10.61 N W
14 1 1 10 0 12 N W
14 1 1 14 0 8.56 N W
14 0 0 16 0 16.14 N W
11 0 0 11 0 3.75 N W
16 1 1 6 0 9 N B
12 1 1 33 0 13.12 N B
16 0 0 10 0 13.2 N W
12 0 0 19 0 9.25 N W
12 0 0 4 0 5 N H
17 1 0 3 1 6 N W
12 1 1 32 0 7 N W
8 0 1 19 0 4.7 N W
16 1 1 22 0 7.5 N W
18 0 1 33 0 7 N W
18 0 1 19 0 11.22 N W
18 0 1 3 0 5.71 N W
12 0 1 12 0 5.5 N W
12 0 1 16 0 9 N W
12 1 1 4 0 4.13 N W
12 0 1 11 1 10 N W
12 0 1 17 0 7.5 N W
11 0 0 16 0 3.65 N W
12 0 1 18 0 8.89 N W
18 0 1 15 0 18 N W
14 0 0 0 0 3.35 N B
16 0 0 8 0 13.45 N B
16 0 1 17 0 22.5 N W
18 0 0 13 0 19 N W
12 1 1 18 0 8.93 N W
11 1 1 16 0 7 N B
14 1 0 24 0 4.17 N W
12 0 1 23 0 9.83 N W
12 0 0 1 0 6.67 N W
12 1 1 10 1 7 N W
12 1 1 42 0 3.64 N W
18 1 0 37 0 22.83 N W
12 1 1 14 0 5 N W
18 0 1 14 0 22.5 N W
12 1 1 11 0 12 N W
12 1 1 38 0 6.28 N W
12 1 0 3 0 4.5 N W
12 0 1 9 0 6 N W
10 0 1 13 0 6.75 N W
12 0 0 9 0 8.75 N W
16 0 1 11 0 13.28 N W
13 1 1 30 0 6.25 N W
12 1 0 15 1 8.99 N W
14 0 0 2 0 7.5 N W
17 1 1 24 0 12 N W
18 1 0 31 1 14 N W
14 0 0 19 0 16.42 N W
14 0 0 2 0 6.25 N W
12 0 1 4 1 10.5 N W
9 1 1 46 1 9.5 N W
6 1 1 43 1 3 N H
14 1 1 13 0 9.22 N W
12 1 0 15 0 4 N W
12 1 0 16 0 3.8 N W
12 1 1 19 0 6 N W
12 1 1 28 0 5 N W
12 0 1 42 0 15 N W
11 1 0 45 1 5.55 N W
16 0 1 7 0 9 N B
17 0 1 31 0 24.98 N W
12 1 1 24 0 8.49 N W
14 1 1 17 0 5 N H
12 0 1 26 1 22.2 N W
16 0 1 5 1 9.24 N B
16 1 1 17 0 8 N H
10 1 0 33 0 3.5 S W
13 1 1 2 0 3.35 S W
16 1 1 14 0 3.35 S B
16 1 1 28 1 20 S W
12 1 0 46 0 4 S W
16 0 1 38 0 18 S W
13 1 0 0 0 4.5 S W
12 1 0 1 0 7.81 S W
12 1 1 5 0 1.75 S W
18 1 1 13 0 5.2 S H
10 0 0 19 0 8.75 S W
12 0 1 5 0 5 S W
12 1 1 6 0 3.75 S B
13 0 1 9 0 5.95 S W
12 0 0 7 0 4 S H
17 1 0 1 0 5 S W
6 1 0 33 0 4.62 S B
12 1 1 21 0 5.75 S W
18 0 1 29 0 24.98 N W
18 0 1 7 0 15.79 N W
16 0 0 10 0 15.56 N W
16 0 0 9 0 3.35 N W
18 0 1 7 0 18.16 N W
18 0 0 33 1 8 N W
13 0 0 31 0 6 N W
18 0 1 5 0 17.25 N W
16 1 0 2 0 5.5 N W
12 0 0 20 0 7.65 N W
16 0 0 4 0 6.25 N B
12 1 1 45 0 6.4 N W
12 1 1 24 0 6.58 N W
12 0 1 43 0 12.5 N W
18 0 1 10 0 13.33 N W
12 0 0 3 0 5.5 N W
15 0 0 5 0 11.25 N W
12 1 0 45 0 10.62 N W
12 1 1 43 1 8 N B
17 1 1 26 1 10.2 N W
12 1 1 42 0 5.79 N W
12 0 1 37 0 7.3 N W
14 1 0 1 0 44.5 N W
13 1 1 14 0 10.5 N W
12 0 1 8 0 9.36 N W
12 1 1 24 0 5.2 N W
12 1 1 20 0 4.25 N W
17 1 0 13 1 15.95 N W
15 0 1 12 0 22.5 N W
16 1 1 4 0 5 S W
12 0 1 14 0 5.3 S B
18 0 1 14 0 6.25 S W
18 1 0 13 0 10 S W
12 0 1 20 0 5.5 S W
9 1 1 30 0 6.8 S W
12 1 1 28 0 3 S W
16 0 1 14 1 10 S W
10 0 0 13 0 4.85 S W
12 0 1 32 0 9.42 S W
15 1 0 26 0 6 S W
13 1 0 0 0 4.25 S W
14 0 1 12 1 11.02 S W
12 1 1 32 0 12.16 S B
12 0 1 12 0 8.43 S W
12 0 0 3 0 11.43 S W
9 0 1 29 0 19.98 S W
14 1 0 10 0 6.88 S W
12 1 1 16 1 5.71 N W
12 1 1 8 0 3.35 N W
9 1 1 16 0 4.85 N W
12 1 1 15 0 5.75 N W
12 1 1 18 0 5.4 N W
12 1 1 38 0 13.16 N W
12 1 1 13 0 11.32 N W
13 0 1 18 0 8.75 N W
12 0 1 19 1 12.22 N W
10 0 1 15 0 5.25 N W
14 0 0 5 0 5.56 S W
12 1 1 36 0 4.59 S W
12 0 1 38 0 7.5 S W
12 0 0 5 0 12 S W
12 0 1 35 1 16 S W
11 0 0 3 0 3.35 S B
10 0 0 27 0 4.45 S W
12 1 1 29 0 4.25 S W
10 1 1 38 0 13.1 S B
10 0 1 9 0 7 S W
6 0 1 45 0 5.75 S W
8 0 1 27 0 6.5 S W
12 0 1 20 0 7.61 S B
16 0 1 14 1 20.5 S W
12 0 0 1 0 6.25 S W
11 1 1 25 0 3.84 S B
14 0 1 21 0 16.65 S W
17 1 0 10 0 11.25 N W
14 0 0 2 0 5.65 N W
11 0 0 17 0 6.5 N W
12 1 1 24 0 7.75 N W
12 0 1 26 1 6.93 N W
12 0 1 39 1 15 N W
7 0 1 42 1 7 N B
7 0 1 43 0 3.35 S W
12 0 0 5 0 6.5 S W
16 1 1 7 0 6.25 S H
13 1 1 6 0 5 S W
13 1 0 1 0 3.45 S B
14 0 1 41 0 8.8 S W
16 1 1 4 0 10 S W
11 1 1 25 1 4 S W
12 1 1 39 0 9.5 S W
14 1 1 15 0 10.43 S W
18 0 1 10 0 5.21 S W
12 1 0 20 0 7.5 S W
17 0 1 2 0 7 S W
11 0 1 28 1 10.78 S B
10 0 1 27 1 8.9 S W
16 1 0 13 0 3.75 S W
15 0 0 4 0 3.75 S W
12 0 0 13 0 9.45 N W
12 0 1 33 1 15 N W
12 1 0 6 0 3.6 N W
18 0 1 23 1 12 N W
16 1 1 6 0 10.62 N W
16 1 1 16 0 14 N W
16 0 0 3 1 5 N W
12 0 0 19 1 11.5 N W
12 0 1 43 1 13.71 N W
12 0 1 34 0 10.62 S W
12 1 0 25 0 7.45 S W
10 0 1 41 1 6.75 S B
17 1 0 6 0 5.87 S B
12 0 0 2 0 3.43 S B
8 1 1 37 0 4.35 S B
12 0 1 19 1 13 S B
10 1 1 37 0 3.51 S B
13 0 0 8 0 4.3 S W
18 0 1 12 0 5.85 S W
12 0 0 8 0 6 N W
16 0 1 13 1 11 N W
13 0 0 32 0 21.25 N W
16 0 1 18 0 14.53 N W
12 0 0 8 0 6.85 N B
16 1 1 7 0 10 N W
16 1 0 5 0 24.98 S W
12 1 1 17 0 3.75 S W
11 0 1 39 0 6.5 S W
12 0 0 4 0 5 S W
8 1 0 45 0 4.55 S W
12 0 0 8 0 6.5 N W
16 0 0 9 0 10.58 N W
12 0 1 23 0 9.56 N W
16 1 1 14 0 12 N W
12 1 0 16 0 8.5 N W
12 1 1 15 0 4.1 N W
12 1 0 15 0 4.5 N W
16 0 1 16 0 11.5 N W
14 0 0 13 0 8.9 N W
11 0 0 15 1 14.21 N W
16 0 1 11 0 13.65 N W
18 1 0 40 0 22.2 N W
18 1 1 11 0 15 N W
13 0 1 17 0 8.06 S W
12 0 1 12 0 6.75 S W
11 0 1 14 0 4.5 S B
12 1 1 26 0 7 S W
12 1 1 27 0 7.5 S B
12 1 1 16 0 7.5 S W
12 0 0 2 0 8.5 S B
7 0 1 44 0 8 S W
8 0 1 8 0 3.5 S H
12 0 1 9 0 12.5 S W
12 0 0 1 1 6 S H
16 1 0 2 0 5.25 S W
12 0 0 6 0 5 S W
11 1 1 17 0 3.5 S W
14 0 1 14 1 11 S W
12 0 0 3 0 7.5 N W
12 0 1 13 0 8.5 N W
12 0 0 11 0 12.5 N W
12 0 1 24 1 10.75 N W
12 1 1 14 1 12.5 N W
17 0 1 7 0 7.8 N W
17 0 1 13 0 12 N W
12 1 1 10 0 3.35 S B
12 0 1 13 1 19.88 S W
13 0 1 7 0 6 S W
8 1 1 39 0 4.22 S W
14 1 1 6 0 3.5 S W
12 0 1 20 1 12 S W
12 1 1 7 0 3.35 N W
12 0 1 20 1 9 N W
14 1 0 6 0 3.98 N W
12 1 1 39 0 5 N W
16 0 1 15 0 12.67 N W
15 0 1 31 0 17.25 N W
12 1 0 25 0 9.5 N W
11 0 1 13 1 14 N W
12 0 1 8 1 8.5 N B
12 1 1 2 0 4.25 N W
16 0 1 14 0 5.8 N W
13 0 1 14 0 11.25 N W
18 1 1 18 1 12 N W
12 1 1 28 0 11.25 N W
16 0 1 10 1 7.5 N W
14 0 0 17 0 8.2 S B
12 1 1 14 0 4.85 S W
12 1 1 2 0 4.75 S W
16 0 1 29 0 5.5 S W
11 0 1 29 0 9.5 S W
12 1 1 14 0 9.6 S W
13 1 1 33 0 4.55 N W
16 0 1 4 0 15.73 N W
15 0 1 13 0 9.86 N W
14 1 0 24 0 10 N W
13 0 0 5 0 5.8 N W
14 0 0 1 0 7.53 S W
11 0 1 37 1 9.75 S W
11 0 1 18 1 13 S W
15 1 1 10 0 10.28 S W
12 0 1 16 1 13.45 S W
12 0 1 12 1 12.57 N W
14 1 0 4 0 8.63 N W
12 0 1 16 1 13.26 N W
14 0 1 34 1 6.85 N B
13 0 1 10 1 12.47 N W
14 0 1 17 0 7.14 N W
13 1 1 16 0 12.5 N W
10 0 1 20 0 10 N W
10 0 1 12 0 10 N W
12 0 1 30 0 8.75 N W
16 1 1 26 0 9.37 N W
13 0 1 13 0 11.11 N W
8 1 1 21 0 5.1 N H
11 0 0 3 0 7.5 N B
8 1 1 29 0 3.4 N B
12 1 1 3 0 4.5 N W
18 0 1 27 0 6.25 N B
12 0 1 33 0 20.55 N W
13 0 0 17 0 8.4 N W
12 1 1 15 0 8 N W
9 0 1 38 0 8.5 N W
12 0 0 9 0 3.75 N W
12 0 1 10 0 9 N W
16 1 0 6 0 12.05 N W
12 1 1 7 0 4.5 N W
9 0 0 16 0 4.8 N B
10 0 1 30 0 6.5 N W
12 0 1 19 0 7.69 N W
12 1 0 15 0 9.33 N W
12 0 1 12 0 5 N B
12 1 1 33 0 6.1 N B
12 0 0 36 0 10.67 N B
12 1 0 25 0 3.5 N B
12 0 1 35 1 10 N B
13 0 0 8 1 9 N B
12 1 1 23 0 7.5 S B
18 0 0 7 0 5.71 S W
17 0 0 3 0 8.5 S W
12 0 1 8 0 4 S B
9 1 1 34 1 5.75 S B
12 0 0 2 0 5.25 N W
12 0 1 34 0 3.5 N W
11 0 0 2 0 4.5 N W
12 1 0 11 0 5.5 N W
13 1 1 4 0 6.25 N W
16 1 1 22 1 8.89 N W
12 1 1 45 0 5.25 N W
14 1 1 26 0 10.25 N W
14 1 1 12 0 6.25 N W
12 1 1 3 0 4.35 N W
13 0 0 36 0 17.86 N W
12 1 1 9 1 7.5 N W
16 1 1 7 0 6.25 N W
14 0 1 14 0 4.5 N W
12 1 0 6 0 6.4 N W
15 0 1 1 1 4.84 N W
11 0 1 4 0 4.15 N W
12 1 1 5 0 5.13 N W
8 1 1 38 0 5.26 N W
16 1 1 6 0 7.78 N W
13 0 0 9 1 13.07 N W
13 1 1 15 0 8 N W
15 1 1 11 0 7.67 N W
12 0 0 17 0 7.5 N W
12 0 0 1 0 2.85 N W
12 0 1 9 0 6.36 N W
9 0 0 48 0 3.5 N W
12 0 1 17 1 11.35 N W
12 1 1 33 0 5.5 N W
12 0 1 7 0 9.15 N W
14 1 1 12 0 7.96 N W
16 1 1 6 0 5.65 N W
16 0 0 16 0 13.45 S B
11 1 1 8 0 3.65 S W
9 0 0 30 1 6.25 S W
13 0 0 1 1 5.15 S W
17 0 1 32 0 26.29 S W
13 0 0 0 0 2.01 S W
12 1 0 26 0 5 S W
11 1 0 36 0 8.75 N W
14 1 1 19 0 12.5 N W
12 0 0 12 0 4 N W
16 0 1 21 0 4.5 N W
12 1 0 11 0 6.5 N W
12 0 1 10 0 5.5 N W
17 1 1 15 0 6.88 N W
16 1 0 16 0 6.15 N W
12 0 1 23 0 7.78 N W
17 1 1 13 1 12.5 N W
14 1 1 19 1 8.85 N B
11 1 1 20 0 4.35 N W
18 0 0 5 0 11.36 N W
8 0 1 47 1 8.93 N H
11 1 1 33 0 3.5 N W
14 0 1 21 1 26 N W
12 1 1 19 0 8 N W
14 0 1 20 1 16 N W
12 1 1 13 0 5.35 N W
17 1 1 25 1 23.25 N B
12 1 1 18 0 8.63 N B
14 1 0 13 0 18.5 N W
18 0 1 8 0 22.2 N W
12 0 0 14 1 16.26 N B
12 0 0 9 0 19.47 N W
