# from: https://www.hup.harvard.edu/supplementary/introductory-econometrics/CPS5.txt
education region sex ethnicity married experience union wage
12 North Male Black No 6 Unionized 4
12 North Female Black No 21 Non-unionized 5.5
16 North Male Black No 3 Non-unionized 3.35
12 North Female Other Yes 40 Non-unionized 10.81
12 North Male Other Yes 5 Non-unionized 7
13 North Male Other Yes 34 Unionized 10
16 North Female Other Yes 10 Non-unionized 5.4
12 North Female Other No 10 Non-unionized 7.5
12 North Male Other Yes 41 Unionized 11.25
10 North Female Other Yes 25 Unionized 10
13 North Male Other No 0 Non-unionized 4
18 North Male Other Yes 14 Unionized 13.51
12 North Male Other No 22 Non-unionized 6.75
14 North Female Other Yes 32 Non-unionized 14.29
15 North Female Other Yes 9 Non-unionized 9.75
12 North Female Other No 0 Non-unionized 3.35
8 North Female Other No 49 Non-unionized 3.4
14 North Female Other Yes 32 Non-unionized 5.62
12 North Male Other Yes 7 Unionized 7
16 North Female Other Yes 10 Non-unionized 10
10 North Female Other No 44 Unionized 6.1
12 North Female Other Yes 27 Non-unionized 4.17
12 North Female Other Yes 16 Non-unionized 4.8
12 North Male Other Yes 3 Non-unionized 5.75
12 North Male Other Yes 8 Non-unionized 4.75
17 North Male Other Yes 7 Unionized 9.37
12 North Female Other No 8 Non-unionized 5.25
9 North Female Other Yes 42 Non-unionized 4.95
16 North Female Other Yes 11 Non-unionized 19.38
12 North Male Other Yes 23 Non-unionized 19.98
12 North Male Other No 4 Non-unionized 4
12 North Female Other No 0 Non-unionized 5
14 North Male Other Yes 25 Non-unionized 10.58
12 North Male Black No 22 Unionized 10
14 North Female Hispanic No 15 Non-unionized 7.38
15 North Male Other No 10 Non-unionized 12.5
16 North Female Other No 20 Non-unionized 4
12 North Female Other Yes 24 Non-unionized 15.03
12 South Male Other Yes 12 Non-unionized 16
12 South Female Hispanic No 12 Non-unionized 3.56
12 South Male Hispanic No 16 Non-unionized 4.5
12 South Female Hispanic No 4 Non-unionized 4.55
12 South Female Hispanic Yes 43 Non-unionized 3.6
12 South Female Other Yes 14 Non-unionized 8
12 South Female Other No 10 Non-unionized 4.75
12 South Male Other Yes 2 Non-unionized 6.73
12 South Male Other Yes 28 Non-unionized 11.11
7 South Female Other Yes 15 Non-unionized 6
12 South Male Other Yes 20 Non-unionized 10
12 South Female Hispanic Yes 30 Non-unionized 11.25
12 South Female Other Yes 9 Non-unionized 3.95
16 South Male Black Yes 13 Non-unionized 17.5
13 South Female Other No 1 Non-unionized 3.55
16 South Male Other No 8 Non-unionized 6
14 South Male Other Yes 15 Non-unionized 22
12 South Female Other No 6 Non-unionized 6.25
7 South Male Hispanic Yes 14 Non-unionized 4.5
13 South Female Other No 28 Non-unionized 10.32
14 South Male Other Yes 10 Non-unionized 12.2
17 South Male Other No 14 Non-unionized 18.16
16 South Male Other Yes 10 Non-unionized 15
13 South Female Other Yes 10 Non-unionized 8.75
14 South Male Other Yes 44 Non-unionized 19.98
16 North Female Other No 10 Unionized 6.67
14 North Male Other Yes 22 Unionized 9.63
11 North Male Other Yes 18 Unionized 5.5
12 North Female Other No 9 Non-unionized 8
18 North Female Other Yes 19 Non-unionized 20
17 North Female Other Yes 14 Non-unionized 9.5
16 North Female Other No 6 Unionized 11.79
16 North Female Other No 17 Non-unionized 13.89
11 North Female Other Yes 24 Non-unionized 5.5
11 North Female Other No 12 Non-unionized 7
12 North Female Other Yes 38 Non-unionized 9.65
15 North Female Other No 33 Non-unionized 10.61
14 North Female Other Yes 10 Non-unionized 12
14 North Female Other Yes 14 Non-unionized 8.56
14 North Male Other No 16 Non-unionized 16.14
11 North Male Other No 11 Non-unionized 3.75
16 North Female Black Yes 6 Non-unionized 9
12 North Female Black Yes 33 Non-unionized 13.12
16 North Male Other No 10 Non-unionized 13.2
12 North Male Other No 19 Non-unionized 9.25
12 North Male Hispanic No 4 Non-unionized 5
17 North Female Other No 3 Unionized 6
12 North Female Other Yes 32 Non-unionized 7
8 North Male Other Yes 19 Non-unionized 4.7
16 North Female Other Yes 22 Non-unionized 7.5
18 North Male Other Yes 33 Non-unionized 7
18 North Male Other Yes 19 Non-unionized 11.22
18 North Male Other Yes 3 Non-unionized 5.71
12 North Male Other Yes 12 Non-unionized 5.5
12 North Male Other Yes 16 Non-unionized 9
12 North Female Other Yes 4 Non-unionized 4.13
12 North Male Other Yes 11 Unionized 10
12 North Male Other Yes 17 Non-unionized 7.5
11 North Male Other No 16 Non-unionized 3.65
12 North Male Other Yes 18 Non-unionized 8.89
18 North Male Other Yes 15 Non-unionized 18
14 North Male Black No 0 Non-unionized 3.35
16 North Male Black No 8 Non-unionized 13.45
16 North Male Other Yes 17 Non-unionized 22.5
18 North Male Other No 13 Non-unionized 19
12 North Female Other Yes 18 Non-unionized 8.93
11 North Female Black Yes 16 Non-unionized 7
14 North Female Other No 24 Non-unionized 4.17
12 North Male Other Yes 23 Non-unionized 9.83
12 North Male Other No 1 Non-unionized 6.67
12 North Female Other Yes 10 Unionized 7
12 North Female Other Yes 42 Non-unionized 3.64
18 North Female Other No 37 Non-unionized 22.83
12 North Female Other Yes 14 Non-unionized 5
18 North Male Other Yes 14 Non-unionized 22.5
12 North Female Other Yes 11 Non-unionized 12
12 North Female Other Yes 38 Non-unionized 6.28
12 North Female Other No 3 Non-unionized 4.5
12 North Male Other Yes 9 Non-unionized 6
10 North Male Other Yes 13 Non-unionized 6.75
12 North Male Other No 9 Non-unionized 8.75
16 North Male Other Yes 11 Non-unionized 13.28
13 North Female Other Yes 30 Non-unionized 6.25
12 North Female Other No 15 Unionized 8.99
14 North Male Other No 2 Non-unionized 7.5
17 North Female Other Yes 24 Non-unionized 12
18 North Female Other No 31 Unionized 14
14 North Male Other No 19 Non-unionized 16.42
14 North Male Other No 2 Non-unionized 6.25
12 North Male Other Yes 4 Unionized 10.5
9 North Female Other Yes 46 Unionized 9.5
6 North Female Hispanic Yes 43 Unionized 3
14 North Female Other Yes 13 Non-unionized 9.22
12 North Female Other No 15 Non-unionized 4
12 North Female Other No 16 Non-unionized 3.8
12 North Female Other Yes 19 Non-unionized 6
12 North Female Other Yes 28 Non-unionized 5
12 North Male Other Yes 42 Non-unionized 15
11 North Female Other No 45 Unionized 5.55
16 North Male Black Yes 7 Non-unionized 9
17 North Male Other Yes 31 Non-unionized 24.98
12 North Female Other Yes 24 Non-unionized 8.49
14 North Female Hispanic Yes 17 Non-unionized 5
12 North Male Other Yes 26 Unionized 22.2
16 North Male Black Yes 5 Unionized 9.24
16 North Female Hispanic Yes 17 Non-unionized 8
10 South Female Other No 33 Non-unionized 3.5
13 South Female Other Yes 2 Non-unionized 3.35
16 South Female Black Yes 14 Non-unionized 3.35
16 South Female Other Yes 28 Unionized 20
12 South Female Other No 46 Non-unionized 4
16 South Male Other Yes 38 Non-unionized 18
13 South Female Other No 0 Non-unionized 4.5
12 South Female Other No 1 Non-unionized 7.81
12 South Female Other Yes 5 Non-unionized 1.75
18 South Female Hispanic Yes 13 Non-unionized 5.2
10 South Male Other No 19 Non-unionized 8.75
12 South Male Other Yes 5 Non-unionized 5
12 South Female Black Yes 6 Non-unionized 3.75
13 South Male Other Yes 9 Non-unionized 5.95
12 South Male Hispanic No 7 Non-unionized 4
17 South Female Other No 1 Non-unionized 5
6 South Female Black No 33 Non-unionized 4.62
12 South Female Other Yes 21 Non-unionized 5.75
18 North Male Other Yes 29 Non-unionized 24.98
18 North Male Other Yes 7 Non-unionized 15.79
16 North Male Other No 10 Non-unionized 15.56
16 North Male Other No 9 Non-unionized 3.35
18 North Male Other Yes 7 Non-unionized 18.16
18 North Male Other No 33 Unionized 8
13 North Male Other No 31 Non-unionized 6
18 North Male Other Yes 5 Non-unionized 17.25
16 North Female Other No 2 Non-unionized 5.5
12 North Male Other No 20 Non-unionized 7.65
16 North Male Black No 4 Non-unionized 6.25
12 North Female Other Yes 45 Non-unionized 6.4
12 North Female Other Yes 24 Non-unionized 6.58
12 North Male Other Yes 43 Non-unionized 12.5
18 North Male Other Yes 10 Non-unionized 13.33
12 North Male Other No 3 Non-unionized 5.5
15 North Male Other No 5 Non-unionized 11.25
12 North Female Other No 45 Non-unionized 10.62
12 North Female Black Yes 43 Unionized 8
17 North Female Other Yes 26 Unionized 10.2
12 North Female Other Yes 42 Non-unionized 5.79
12 North Male Other Yes 37 Non-unionized 7.3
14 North Female Other No 1 Non-unionized 44.5
13 North Female Other Yes 14 Non-unionized 10.5
12 North Male Other Yes 8 Non-unionized 9.36
12 North Female Other Yes 24 Non-unionized 5.2
12 North Female Other Yes 20 Non-unionized 4.25
17 North Female Other No 13 Unionized 15.95
15 North Male Other Yes 12 Non-unionized 22.5
16 South Female Other Yes 4 Non-unionized 5
12 South Male Black Yes 14 Non-unionized 5.3
18 South Male Other Yes 14 Non-unionized 6.25
18 South Female Other No 13 Non-unionized 10
12 South Male Other Yes 20 Non-unionized 5.5
9 South Female Other Yes 30 Non-unionized 6.8
12 South Female Other Yes 28 Non-unionized 3
16 South Male Other Yes 14 Unionized 10
10 South Male Other No 13 Non-unionized 4.85
12 South Male Other Yes 32 Non-unionized 9.42
15 South Female Other No 26 Non-unionized 6
13 South Female Other No 0 Non-unionized 4.25
14 South Male Other Yes 12 Unionized 11.02
12 South Female Black Yes 32 Non-unionized 12.16
12 South Male Other Yes 12 Non-unionized 8.43
12 South Male Other No 3 Non-unionized 11.43
9 South Male Other Yes 29 Non-unionized 19.98
14 South Female Other No 10 Non-unionized 6.88
12 North Female Other Yes 16 Unionized 5.71
12 North Female Other Yes 8 Non-unionized 3.35
9 North Female Other Yes 16 Non-unionized 4.85
12 North Female Other Yes 15 Non-unionized 5.75
12 North Female Other Yes 18 Non-unionized 5.4
12 North Female Other Yes 38 Non-unionized 13.16
12 North Female Other Yes 13 Non-unionized 11.32
13 North Male Other Yes 18 Non-unionized 8.75
12 North Male Other Yes 19 Unionized 12.22
10 North Male Other Yes 15 Non-unionized 5.25
14 South Male Other No 5 Non-unionized 5.56
12 South Female Other Yes 36 Non-unionized 4.59
12 South Male Other Yes 38 Non-unionized 7.5
12 South Male Other No 5 Non-unionized 12
12 South Male Other Yes 35 Unionized 16
11 South Male Black No 3 Non-unionized 3.35
10 South Male Other No 27 Non-unionized 4.45
12 South Female Other Yes 29 Non-unionized 4.25
10 South Female Black Yes 38 Non-unionized 13.1
10 South Male Other Yes 9 Non-unionized 7
6 South Male Other Yes 45 Non-unionized 5.75
8 South Male Other Yes 27 Non-unionized 6.5
12 South Male Black Yes 20 Non-unionized 7.61
16 South Male Other Yes 14 Unionized 20.5
12 South Male Other No 1 Non-unionized 6.25
11 South Female Black Yes 25 Non-unionized 3.84
14 South Male Other Yes 21 Non-unionized 16.65
17 North Female Other No 10 Non-unionized 11.25
14 North Male Other No 2 Non-unionized 5.65
11 North Male Other No 17 Non-unionized 6.5
12 North Female Other Yes 24 Non-unionized 7.75
12 North Male Other Yes 26 Unionized 6.93
12 North Male Other Yes 39 Unionized 15
7 North Male Black Yes 42 Unionized 7
7 South Male Other Yes 43 Non-unionized 3.35
12 South Male Other No 5 Non-unionized 6.5
16 South Female Hispanic Yes 7 Non-unionized 6.25
13 South Female Other Yes 6 Non-unionized 5
13 South Female Black No 1 Non-unionized 3.45
14 South Male Other Yes 41 Non-unionized 8.8
16 South Female Other Yes 4 Non-unionized 10
11 South Female Other Yes 25 Unionized 4
12 South Female Other Yes 39 Non-unionized 9.5
14 South Female Other Yes 15 Non-unionized 10.43
18 South Male Other Yes 10 Non-unionized 5.21
12 South Female Other No 20 Non-unionized 7.5
17 South Male Other Yes 2 Non-unionized 7
11 South Male Black Yes 28 Unionized 10.78
10 South Male Other Yes 27 Unionized 8.9
16 South Female Other No 13 Non-unionized 3.75
15 South Male Other No 4 Non-unionized 3.75
12 North Male Other No 13 Non-unionized 9.45
12 North Male Other Yes 33 Unionized 15
12 North Female Other No 6 Non-unionized 3.6
18 North Male Other Yes 23 Unionized 12
16 North Female Other Yes 6 Non-unionized 10.62
16 North Female Other Yes 16 Non-unionized 14
16 North Male Other No 3 Unionized 5
12 North Male Other No 19 Unionized 11.5
12 North Male Other Yes 43 Unionized 13.71
12 South Male Other Yes 34 Non-unionized 10.62
12 South Female Other No 25 Non-unionized 7.45
10 South Male Black Yes 41 Unionized 6.75
17 South Female Black No 6 Non-unionized 5.87
12 South Male Black No 2 Non-unionized 3.43
8 South Female Black Yes 37 Non-unionized 4.35
12 South Male Black Yes 19 Unionized 13
10 South Female Black Yes 37 Non-unionized 3.51
13 South Male Other No 8 Non-unionized 4.3
18 South Male Other Yes 12 Non-unionized 5.85
12 North Male Other No 8 Non-unionized 6
16 North Male Other Yes 13 Unionized 11
13 North Male Other No 32 Non-unionized 21.25
16 North Male Other Yes 18 Non-unionized 14.53
12 North Male Black No 8 Non-unionized 6.85
16 North Female Other Yes 7 Non-unionized 10
16 South Female Other No 5 Non-unionized 24.98
12 South Female Other Yes 17 Non-unionized 3.75
11 South Male Other Yes 39 Non-unionized 6.5
12 South Male Other No 4 Non-unionized 5
8 South Female Other No 45 Non-unionized 4.55
12 North Male Other No 8 Non-unionized 6.5
16 North Male Other No 9 Non-unionized 10.58
12 North Male Other Yes 23 Non-unionized 9.56
16 North Female Other Yes 14 Non-unionized 12
12 North Female Other No 16 Non-unionized 8.5
12 North Female Other Yes 15 Non-unionized 4.1
12 North Female Other No 15 Non-unionized 4.5
16 North Male Other Yes 16 Non-unionized 11.5
14 North Male Other No 13 Non-unionized 8.9
11 North Male Other No 15 Unionized 14.21
16 North Male Other Yes 11 Non-unionized 13.65
18 North Female Other No 40 Non-unionized 22.2
18 North Female Other Yes 11 Non-unionized 15
13 South Male Other Yes 17 Non-unionized 8.06
12 South Male Other Yes 12 Non-unionized 6.75
11 South Male Black Yes 14 Non-unionized 4.5
12 South Female Other Yes 26 Non-unionized 7
12 South Female Black Yes 27 Non-unionized 7.5
12 South Female Other Yes 16 Non-unionized 7.5
12 South Male Black No 2 Non-unionized 8.5
7 South Male Other Yes 44 Non-unionized 8
8 South Male Hispanic Yes 8 Non-unionized 3.5
12 South Male Other Yes 9 Non-unionized 12.5
12 South Male Hispanic No 1 Unionized 6
16 South Female Other No 2 Non-unionized 5.25
12 South Male Other No 6 Non-unionized 5
11 South Female Other Yes 17 Non-unionized 3.5
14 South Male Other Yes 14 Unionized 11
12 North Male Other No 3 Non-unionized 7.5
12 North Male Other Yes 13 Non-unionized 8.5
12 North Male Other No 11 Non-unionized 12.5
12 North Male Other Yes 24 Unionized 10.75
12 North Female Other Yes 14 Unionized 12.5
17 North Male Other Yes 7 Non-unionized 7.8
17 North Male Other Yes 13 Non-unionized 12
12 South Female Black Yes 10 Non-unionized 3.35
12 South Male Other Yes 13 Unionized 19.88
13 South Male Other Yes 7 Non-unionized 6
8 South Female Other Yes 39 Non-unionized 4.22
14 South Female Other Yes 6 Non-unionized 3.5
12 South Male Other Yes 20 Unionized 12
12 North Female Other Yes 7 Non-unionized 3.35
12 North Male Other Yes 20 Unionized 9
14 North Female Other No 6 Non-unionized 3.98
12 North Female Other Yes 39 Non-unionized 5
16 North Male Other Yes 15 Non-unionized 12.67
15 North Male Other Yes 31 Non-unionized 17.25
12 North Female Other No 25 Non-unionized 9.5
11 North Male Other Yes 13 Unionized 14
12 North Male Black Yes 8 Unionized 8.5
12 North Female Other Yes 2 Non-unionized 4.25
16 North Male Other Yes 14 Non-unionized 5.8
13 North Male Other Yes 14 Non-unionized 11.25
18 North Female Other Yes 18 Unionized 12
12 North Female Other Yes 28 Non-unionized 11.25
16 North Male Other Yes 10 Unionized 7.5
14 South Male Black No 17 Non-unionized 8.2
12 South Female Other Yes 14 Non-unionized 4.85
12 South Female Other Yes 2 Non-unionized 4.75
16 South Male Other Yes 29 Non-unionized 5.5
11 South Male Other Yes 29 Non-unionized 9.5
12 South Female Other Yes 14 Non-unionized 9.6
13 North Female Other Yes 33 Non-unionized 4.55
16 North Male Other Yes 4 Non-unionized 15.73
15 North Male Other Yes 13 Non-unionized 9.86
14 North Female Other No 24 Non-unionized 10
13 North Male Other No 5 Non-unionized 5.8
14 South Male Other No 1 Non-unionized 7.53
11 South Male Other Yes 37 Unionized 9.75
11 South Male Other Yes 18 Unionized 13
15 South Female Other Yes 10 Non-unionized 10.28
12 South Male Other Yes 16 Unionized 13.45
12 North Male Other Yes 12 Unionized 12.57
14 North Female Other No 4 Non-unionized 8.63
12 North Male Other Yes 16 Unionized 13.26
14 North Male Black Yes 34 Unionized 6.85
13 North Male Other Yes 10 Unionized 12.47
14 North Male Other Yes 17 Non-unionized 7.14
13 North Female Other Yes 16 Non-unionized 12.5
10 North Male Other Yes 20 Non-unionized 10
10 North Male Other Yes 12 Non-unionized 10
12 North Male Other Yes 30 Non-unionized 8.75
16 North Female Other Yes 26 Non-unionized 9.37
13 North Male Other Yes 13 Non-unionized 11.11
8 North Female Hispanic Yes 21 Non-unionized 5.1
11 North Male Black No 3 Non-unionized 7.5
8 North Female Black Yes 29 Non-unionized 3.4
12 North Female Other Yes 3 Non-unionized 4.5
18 North Male Black Yes 27 Non-unionized 6.25
12 North Male Other Yes 33 Non-unionized 20.55
13 North Male Other No 17 Non-unionized 8.4
12 North Female Other Yes 15 Non-unionized 8
9 North Male Other Yes 38 Non-unionized 8.5
12 North Male Other No 9 Non-unionized 3.75
12 North Male Other Yes 10 Non-unionized 9
16 North Female Other No 6 Non-unionized 12.05
12 North Female Other Yes 7 Non-unionized 4.5
9 North Male Black No 16 Non-unionized 4.8
10 North Male Other Yes 30 Non-unionized 6.5
12 North Male Other Yes 19 Non-unionized 7.69
12 North Female Other No 15 Non-unionized 9.33
12 North Male Black Yes 12 Non-unionized 5
12 North Female Black Yes 33 Non-unionized 6.1
12 North Male Black No 36 Non-unionized 10.67
12 North Female Black No 25 Non-unionized 3.5
12 North Male Black Yes 35 Unionized 10
13 North Male Black No 8 Unionized 9
12 South Female Black Yes 23 Non-unionized 7.5
18 South Male Other No 7 Non-unionized 5.71
17 South Male Other No 3 Non-unionized 8.5
12 South Male Black Yes 8 Non-unionized 4
9 South Female Black Yes 34 Unionized 5.75
12 North Male Other No 2 Non-unionized 5.25
12 North Male Other Yes 34 Non-unionized 3.5
11 North Male Other No 2 Non-unionized 4.5
12 North Female Other No 11 Non-unionized 5.5
13 North Female Other Yes 4 Non-unionized 6.25
16 North Female Other Yes 22 Unionized 8.89
12 North Female Other Yes 45 Non-unionized 5.25
14 North Female Other Yes 26 Non-unionized 10.25
14 North Female Other Yes 12 Non-unionized 6.25
12 North Female Other Yes 3 Non-unionized 4.35
13 North Male Other No 36 Non-unionized 17.86
12 North Female Other Yes 9 Unionized 7.5
16 North Female Other Yes 7 Non-unionized 6.25
14 North Male Other Yes 14 Non-unionized 4.5
12 North Female Other No 6 Non-unionized 6.4
15 North Male Other Yes 1 Unionized 4.84
11 North Male Other Yes 4 Non-unionized 4.15
12 North Female Other Yes 5 Non-unionized 5.13
8 North Female Other Yes 38 Non-unionized 5.26
16 North Female Other Yes 6 Non-unionized 7.78
13 North Male Other No 9 Unionized 13.07
13 North Female Other Yes 15 Non-unionized 8
15 North Female Other Yes 11 Non-unionized 7.67
12 North Male Other No 17 Non-unionized 7.5
12 North Male Other No 1 Non-unionized 2.85
12 North Male Other Yes 9 Non-unionized 6.36
9 North Male Other No 48 Non-unionized 3.5
12 North Male Other Yes 17 Unionized 11.35
12 North Female Other Yes 33 Non-unionized 5.5
12 North Male Other Yes 7 Non-unionized 9.15
14 North Female Other Yes 12 Non-unionized 7.96
16 North Female Other Yes 6 Non-unionized 5.65
16 South Male Black No 16 Non-unionized 13.45
11 South Female Other Yes 8 Non-unionized 3.65
9 South Male Other No 30 Unionized 6.25
13 South Male Other No 1 Unionized 5.15
17 South Male Other Yes 32 Non-unionized 26.29
13 South Male Other No 0 Non-unionized 2.01
12 South Female Other No 26 Non-unionized 5
11 North Female Other No 36 Non-unionized 8.75
14 North Female Other Yes 19 Non-unionized 12.5
12 North Male Other No 12 Non-unionized 4
16 North Male Other Yes 21 Non-unionized 4.5
12 North Female Other No 11 Non-unionized 6.5
12 North Male Other Yes 10 Non-unionized 5.5
17 North Female Other Yes 15 Non-unionized 6.88
16 North Female Other No 16 Non-unionized 6.15
12 North Male Other Yes 23 Non-unionized 7.78
17 North Female Other Yes 13 Unionized 12.5
14 North Female Black Yes 19 Unionized 8.85
11 North Female Other Yes 20 Non-unionized 4.35
18 North Male Other No 5 Non-unionized 11.36
8 North Male Hispanic Yes 47 Unionized 8.93
11 North Female Other Yes 33 Non-unionized 3.5
14 North Male Other Yes 21 Unionized 26
12 North Female Other Yes 19 Non-unionized 8
14 North Male Other Yes 20 Unionized 16
12 North Female Other Yes 13 Non-unionized 5.35
17 North Female Black Yes 25 Unionized 23.25
12 North Female Black Yes 18 Non-unionized 8.63
14 North Female Other No 13 Non-unionized 18.5
18 North Male Other Yes 8 Non-unionized 22.2
12 North Male Black No 14 Unionized 16.26
12 North Male Other No 9 Non-unionized 19.47
